Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2022-08-23,113.99,115.14,113.52,113.54,"14,390,700.00",117.46,113.86,127.91,0
2022-08-24,113.92,114.93,113.01,113.67,"16,051,200.00",117.52,114.02,127.74,0
2022-08-25,116.9,116.98,114.27,114.37,"14,874,700.00",117.67,114.23,127.58,0.03
2022-08-26,110.54,115.81,110.46,115.02,"31,698,700.00",117.41,114.25,127.39,-0.05
2022-08-29,109.59,111.2,109.06,110.03,"20,386,100.00",117.15,114.32,127.21,-0.01
2022-08-30,109.16,110.61,108.06,110.28,"20,548,200.00",116.86,114.36,127.03,0
2022-08-31,108.41,111.01,108.31,110.87,"25,898,000.00",116.38,114.3,126.83,-0.01
2022-09-01,109.8,110.46,107.45,108.46,"22,784,400.00",115.96,114.27,126.64,0.01
2022-09-02,107.94,110.92,107.4,110.58,"20,618,100.00",115.49,114.19,126.44,-0.02
2022-09-06,106.75,108.14,105.79,107.4,"20,565,100.00",114.96,113.97,126.23,-0.01
2022-09-07,109.73,110.24,106.88,107.03,"22,987,200.00",114.61,113.85,126.03,0.03
2022-09-08,108.68,109.83,107.33,108.44,"21,660,700.00",114.05,113.79,125.83,-0.01
2022-09-09,111.02,111.24,109.25,109.3,"21,732,900.00",113.66,113.78,125.65,0.02
2022-09-12,111.11,111.87,110.18,111.23,"19,732,900.00",113.12,113.83,125.48,0
2022-09-13,104.59,108.63,104.29,108.15,"33,015,000.00",112.25,113.75,125.27,-0.06
2022-09-14,105.15,105.38,103.79,104.72,"22,115,800.00",111.42,113.6,125.09,0.01
2022-09-15,103.19,105.49,102.61,104.3,"26,494,900.00",110.61,113.37,124.88,-0.02
2022-09-16,102.93,103.32,101.16,102.27,"64,540,100.00",109.75,113.06,124.69,0
2022-09-19,103.14,103.31,101.67,101.84,"19,738,600.00",109.04,112.74,124.5,0
2022-09-20,101.14,102.47,100.43,102.18,"24,001,700.00",108.38,112.44,124.29,-0.02
2022-09-21,99.33,102.79,99.31,101.55,"26,596,800.00",107.65,112.15,124.08,-0.02
2022-09-22,99.89,100.99,98.73,98.77,"21,272,700.00",106.95,111.92,123.87,0.01
2022-09-23,98.5,99.43,97.34,99.38,"25,657,000.00",106.03,111.67,123.62,-0.01
2022-09-26,98.14,99.76,97.71,97.94,"22,437,900.00",105.41,111.4,123.38,0
2022-09-27,97.42,99.78,96.68,99.23,"24,225,000.00",104.8,111.16,123.13,-0.01
2022-09-28,100.06,100.71,97.14,97.35,"24,617,000.00",104.35,110.89,122.89,0.03
2022-09-29,97.42,98.63,95.86,98.63,"21,921,500.00",103.8,110.56,122.65,-0.03
2022-09-30,95.5,98.82,95.38,97.07,"26,277,800.00",103.08,110.18,122.41,-0.02
2022-10-03,98.63,99.29,96.36,96.56,"24,840,000.00",102.62,110,122.17,0.03
2022-10-04,101.71,102.02,100.35,100.35,"22,580,900.00",102.36,109.89,121.96,0.03
2022-10-05,101.53,102.04,99.06,100.01,"18,475,500.00",101.95,109.82,121.75,0
2022-10-06,101.55,103.02,100.81,100.81,"17,156,200.00",101.6,109.6,121.55,0
2022-10-07,98.89,100.73,98.54,99.97,"24,249,900.00",100.99,109.3,121.33,-0.03
2022-10-10,98.04,99.31,97.2,99.17,"16,529,900.00",100.34,108.94,121.09,-0.01
2022-10-11,97.38,99.44,96.59,97.58,"21,617,700.00",99.98,108.6,120.85,-0.01
2022-10-12,97.63,98.97,97.01,97.6,"17,343,400.00",99.6,108.25,120.6,0
2022-10-13,99.03,99.85,94.62,95.28,"32,812,200.00",99.39,107.87,120.37,0.01
2022-10-14,96.52,100.6,96.37,99.94,"22,624,800.00",99.07,107.44,120.13,-0.03
2022-10-17,100.1,101.08,98.83,98.84,"23,311,600.00",98.92,107.09,119.9,0.04
2022-10-18,100.7,103.51,99.97,103.23,"21,610,500.00",98.9,106.76,119.69,0.01
2022-10-19,99.61,100.97,98.96,100.02,"21,573,700.00",98.91,106.42,119.46,-0.01
2022-10-20,99.85,102.3,99.29,100.13,"25,125,100.00",98.91,106.02,119.25,0
2022-10-21,100.79,100.93,97.56,97.79,"28,988,700.00",99.02,105.65,119.07,0.01
2022-10-24,102.27,102.4,99.62,101.4,"24,680,800.00",99.23,105.26,118.89,0.01
2022-10-25,104.22,104.39,102.32,102.6,"29,910,200.00",99.57,104.9,118.73,0.02
2022-10-26,94.18,97.87,93.93,96.1,"71,504,300.00",99.28,104.35,118.52,-0.1
2022-10-27,91.97,94.52,91.28,93.67,"54,036,500.00",99,103.8,118.28,-0.02
2022-10-28,95.92,96.2,91.7,91.9,"35,696,900.00",99.03,103.32,118.06,0.04
2022-10-31,94.02,95.7,93.74,95.13,"29,868,700.00",98.79,102.85,117.84,-0.02
2022-11-01,89.88,95.51,89.82,94.94,"43,220,600.00",98.2,102.37,117.59,-0.04
2022-11-02,86.48,90.68,86.42,90.29,"43,553,600.00",97.45,101.82,117.35,-0.04
2022-11-03,82.92,85.96,82.88,85.76,"48,510,400.00",96.52,101.2,117.09,-0.04
2022-11-04,86.11,86.14,83.31,84.93,"40,173,300.00",95.88,100.58,116.86,0.04
2022-11-07,88.05,88.34,86.37,86.75,"26,899,900.00",95.38,100.13,116.65,0.02
2022-11-08,88.31,89.79,87.05,88.55,"30,172,000.00",94.93,99.71,116.45,0
2022-11-09,86.81,88.88,86.77,87.94,"26,743,900.00",94.39,99.26,116.25,-0.02
2022-11-10,93.53,93.91,91.03,91.71,"42,371,200.00",94.11,98.96,116.08,0.08
2022-11-11,96.07,96.7,93.52,94.07,"30,569,100.00",94.09,98.69,115.91,0.03
2022-11-14,95.38,96.52,94.47,94.85,"24,170,100.00",93.85,98.43,115.73,-0.01
2022-11-15,98.05,99.74,96.36,98,"31,831,000.00",93.72,98.26,115.55,0.03
2022-11-16,98.32,99.17,97.24,97.35,"24,660,200.00",93.66,98.03,115.35,0
2022-11-17,97.83,98.8,96.44,96.52,"21,818,700.00",93.55,97.82,115.11,0
2022-11-18,97.14,98.49,96.08,98.34,"24,969,900.00",93.37,97.54,114.88,-0.01
2022-11-21,95.18,98.05,95.02,96.9,"18,696,900.00",93.02,97.22,114.65,-0.02
2022-11-22,96.67,96.88,93.77,95.51,"18,868,900.00",92.64,97.06,114.44,0.02
2022-11-23,98.15,98.4,96.68,96.68,"17,568,900.00",92.84,96.92,114.24,0.02
